prompt,completion
Question: How do I uninstall pre-installed apps on Windows 10?,"To uninstall built-in apps on Windows 10, follow these steps:
1. Press Win + I → Apps → Apps & features.
2. Scroll to the app → Uninstall → confirm.
3. If “Uninstall” is grayed out, open PowerShell (Admin) and run:
   `Get-AppxPackage *AppName* | Remove-AppxPackage`.
4. Restart your PC to complete removal."
Question: How do I fix Windows 10 not recognizing USB drive?,"To fix Windows 10 not recognizing a USB drive, follow these steps:
1. Try a different USB port and cable.
2. Open Disk Management (Win + X → Disk Management) → if the drive appears as unallocated, right-click → Change Drive Letter and Paths → Add a letter.
3. If “Unknown” or “Not Initialized,” right-click → Initialize Disk → follow prompts.
4. In Device Manager (Win + X → Device Manager) → USB controllers → uninstall each “USB Root Hub” → Restart PC.
5. In Command Prompt (Admin), run `chkdsk X: /f` (replace X with USB drive letter) to fix file system errors."
Question: How do I extend the C drive in Windows 10?,"To extend the C: drive on Windows 10, follow these steps:
1. Open Disk Management (Win + R → `diskmgmt.msc`).
2. If there is unallocated space next to C:, right-click C: → Extend Volume → Next → Finish.
3. If no unallocated space, shrink an adjacent partition: right-click it → Shrink Volume → enter size → Shrink → then extend C:.
4. Confirm the new size in File Explorer."
Question: How do I enable BitLocker encryption on Windows 10?,"To enable BitLocker encryption on Windows 10 Pro, follow these steps:
1. Press Win + R → `control` → System and Security → BitLocker Drive Encryption.
2. Click “Turn on BitLocker” next to the drive.
3. Save the recovery key to your Microsoft account or a USB drive.
4. Choose “Encrypt used disk space only” (faster) or “Encrypt entire drive” (more secure) → Next → Start Encrypting.
5. Once complete, BitLocker is active; reboot if prompted."
Question: How do I check disk for errors on Windows 10?,"To check your disk for errors on Windows 10, follow these steps:
1. Open Command Prompt (Admin) (Win + X → Command Prompt (Admin)).
2. Type `chkdsk C: /f` (replace C: with drive letter) and press Enter.
3. If prompted, type “Y” to schedule on next restart.
4. Restart your PC; CHKDSK will scan and fix errors before boot.
5. Review the report in Event Viewer (Windows Logs → Application → Wininit)."
Question: How do I fix high CPU usage on Windows 10?,"To fix high CPU usage on Windows 10, follow these steps:
1. Open Task Manager (Ctrl + Shift + Esc) → Processes → sort by CPU usage.
2. If a third-party app is high, right-click → End Task, then uninstall or update it.
3. If “System Interrupts” or “Windows Module Installer Worker,” update Windows: Settings → Update & Security → Check for updates.
4. Disable unnecessary startup items: Task Manager → Startup → right-click → Disable.
5. Run a full antivirus scan (Windows Security → Virus & threat protection → Quick scan).
6. Update device drivers: Device Manager → right-click → Update driver → Search automatically.
7. In Command Prompt (Admin), run `sfc /scannow` to repair system files."
Question: How do I run CHKDSK in Windows 10?,"To run CHKDSK in Windows 10, follow these steps:
1. Open Command Prompt (Admin) (Win + X → Command Prompt (Admin)).
2. Type `chkdsk C: /f /r` (replace C: with desired drive) and press Enter.
3. If asked to schedule, type “Y” and press Enter.
4. Restart your PC; CHKDSK will scan and fix disk errors before boot.
5. After completion, Windows starts normally; view results in Event Viewer."
Question: How do I submit feedback to Microsoft on Windows 10?,"To submit feedback to Microsoft on Windows 10, follow these steps:
1. Press Win + F (or open the Feedback Hub app from Start).
2. Sign in with your Microsoft account if prompted.
3. Click “Add new feedback,” choose “Problem” or “Suggestion.”
4. Describe the issue, add screenshots if needed, then click “Next.”
5. Select relevant categories and click “Submit.” Track it under “My feedback.”"
Question: How do I create a bootable USB for Windows 10 installation?,"To create a bootable USB for Windows 10 installation, follow these steps:
1. Download the Media Creation Tool from Microsoft’s website.
2. Run the tool, select “Create installation media” → Next.
3. Choose “USB flash drive” and click Next → select your USB → Next.
4. The tool downloads Windows 10 and makes the USB bootable.
5. Restart your PC, set USB as first boot device in BIOS, and install Windows."
Question: How do I change the default browser in Windows 10?,"To change the default browser on Windows 10, follow these steps:
1. Press Win + I → Apps → Default apps.
2. Under “Web browser,” click the current default and choose your preferred browser.
3. If not listed, install the browser first.
4. Close Settings; links will now open in your chosen browser."
Question: How do I disable Cortana in Windows 10?,"To disable Cortana on Windows 10, follow these steps:
1. Press Win + R → `regedit` → Enter.
2. Navigate to `HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\Windows Search`. Create “Windows Search” if not present.
3. Right-click “Windows Search” → New → DWORD (32-bit) Value → name it “AllowCortana” → set its value to 0.
4. Restart your PC; Cortana will be disabled.
5. To re-enable, delete “AllowCortana” or set value to 1 and reboot."
Question: How do I fix Windows 10 not shutting down?,"To fix Windows 10 that won’t shut down, follow these steps:
1. Disable Fast Startup: Win + I → System → Power & sleep → Additional power settings → Choose what power buttons do → Change settings that are currently unavailable → uncheck “Turn on fast startup” → Save changes.
2. Run the Power Troubleshooter: Win + I → Update & Security → Troubleshoot → Power → Run the troubleshooter.
3. Open Device Manager (Win + X → Device Manager) → Network adapters → right-click each adapter → Disable device → check shutdown. Re-enable whichever didn’t fix it.
4. Run `sfc /scannow` in an elevated Command Prompt to repair system files.
5. Update all drivers, especially chipset and network, using the manufacturer’s website."
Question: How do I manage startup programs in Windows 10 Task Manager?,"To manage startup programs on Windows 10, follow these steps:
1. Press Ctrl + Shift + Esc to open Task Manager.
2. Click the “Startup” tab.
3. Right-click any app you don’t need on startup → Disable.
4. To re-enable, right-click a disabled app → Enable.
5. Close Task Manager; changes apply at next reboot."
Question: How do I back up files to OneDrive on Windows 10?,"To back up files to OneDrive on Windows 10, follow these steps:
1. Ensure you’re signed into OneDrive: click cloud icon → Sign in with Microsoft account.
2. Open File Explorer → navigate to files/folders → drag them into your OneDrive folder.
3. Right-click OneDrive icon → Settings → Backup tab → Manage backup → choose Desktop, Documents, Pictures → Start backup.
4. Verify files online at onedrive.live.com."
Question: How do I fix Windows 10 black screen after login?,"To fix a black screen after login on Windows 10, follow these steps:
1. Force shutdown (hold power button 10 seconds), then restart into Safe Mode: hold Shift → click Restart → Troubleshoot → Advanced options → Startup Settings → Restart → select Safe Mode.
2. In Safe Mode, open Device Manager (Win + X → Device Manager) → Display adapters → right-click GPU → Update driver → Search automatically. If no update, uninstall device → reboot.
3. Press Ctrl + Shift + Esc → Task Manager. If Explorer.exe isn’t running, click File → Run new task → type `explorer.exe` → OK.
4. Run `sfc /scannow` in Command Prompt (Admin) and then reboot.
5. Disable startup items: Task Manager → Startup → Disable non-essential apps → reboot normally."
Question: How do I adjust screen resolution in Windows 10?,"To adjust screen resolution on Windows 10, follow these steps:
1. Right-click your desktop → Display settings.
2. Under “Display resolution,” select a recommended resolution.
3. Click “Keep changes” when prompted.
4. For multiple monitors, select the monitor under “Rearrange displays” and adjust each separately."
Question: How do I fix Windows 10 touchscreen not responding?,"To fix a non-responsive touchscreen on Windows 10, follow these steps:
1. Clean the screen with a soft cloth.
2. Press Win + R → `devmgmt.msc` → Enter. In Device Manager, expand “Human Interface Devices” → right-click “HID-compliant touch screen” → Disable device → after a few seconds, right-click → Enable device.
3. Run the Hardware and Devices troubleshooter: Win + I → Update & Security → Troubleshoot → Hardware and Devices → Run.
4. In Device Manager, right-click “HID-compliant touch screen” → Update driver → Search automatically.
5. If issues persist, open “Calibrate the screen for pen or touch input” → Calibrate → follow on-screen prompts."
Question: How do I configure dual monitors on Windows 10?,"To configure dual monitors on Windows 10, follow these steps:
1. Connect both monitors to your PC.
2. Press Win + P → Extend.
3. Right-click desktop → Display settings → identify monitors by clicking “Identify.”
4. Drag and drop to arrange them correctly, then click “Apply.”
5. Ensure “Multiple displays” is set to “Extend these displays.” Adjust resolution for each monitor if needed."
Question: How do I enable Windows Sandbox on Windows 10 Pro?,"To enable Windows Sandbox on Windows 10 Pro, follow these steps:
1. Press Win + R → `optionalfeatures` → Enter.
2. In Windows Features, check “Windows Sandbox” → OK → Restart when prompted.
3. After reboot, press Start → type “Windows Sandbox” → Enter to launch.
4. To disable, reopen Windows Features, uncheck “Windows Sandbox,” and reboot."
Question: How do I fix text-to-speech not working on Windows 10?,"To fix text-to-speech (Narrator) issues on Windows 10, follow these steps:
1. Press Win + Ctrl + Enter to toggle Narrator. If it doesn’t start, continue.
2. Go to Settings → Ease of Access → Narrator → ensure “Use Narrator” is toggled On.
3. In Control Panel (Win + R → `control`), go to “Speech Recognition” → “Text to Speech” → choose a voice (e.g., Microsoft David) → Preview voice → Apply.
4. In Device Manager (Win + X → Device Manager) → Sound, video and game controllers → right-click audio device → Update driver.
5. If still broken, create a new local user account and test Narrator there to rule out profile corruption."
Question: How do I disable Windows 10 firewall temporarily?,"To disable the Windows 10 firewall temporarily, follow these steps:
1. Press Win + I → Update & Security → Windows Security → Firewall & network protection.
2. Click your active network (e.g., Private network) → toggle “Microsoft Defender Firewall” to Off → confirm.
3. When done testing, return and toggle it back On.
4. Or run Command Prompt (Admin) → `netsh advfirewall set allprofiles state off` to disable and `netsh advfirewall set allprofiles state on` to re-enable."
Question: How do I change DNS settings in Windows 10?,"To change DNS settings on Windows 10, follow these steps:
1. Press Win + R → `ncpa.cpl` → Enter.
2. Right-click your network adapter → Properties → select “Internet Protocol Version 4 (TCP/IPv4)” → Properties.
3. Choose “Use the following DNS server addresses,” enter Preferred (e.g., 8.8.8.8) and Alternate (e.g., 8.8.4.4) → OK → Close.
4. In Command Prompt, run `ipconfig /flushdns` to clear old DNS cache."
Question: How do I fix Windows 10 login loop?,"To fix a Windows 10 login loop, follow these steps:
1. Boot into Safe Mode: hold Shift → click Restart → Troubleshoot → Advanced options → Startup Settings → Restart → select Safe Mode.
2. In Safe Mode, press Win + R → `regedit` → navigate to `HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options`. Delete any keys for `utilman.exe` or `osk.exe` with a “Debugger” value.
3. Restart normally. If still looping, open Task Manager (Ctrl + Shift + Esc) → File → Run new task → `msconfig` → Boot tab → uncheck “Safe boot” → OK → Restart.
4. If unresolved, create a new user in Safe Mode (Win + R → `lusrmgr.msc` → Users → New User). Reboot and log in with new account."
Question: How do I clean install Windows 10 from USB?,"To clean install Windows 10 from USB, follow these steps:
1. Create a bootable USB using the Media Creation Tool.
2. Plug in the USB, reboot, enter BIOS/UEFI (F2/Del/Esc), set USB as first boot device, save and exit.
3. On Windows Setup screen, select language → Next → Install now.
4. Enter product key or choose “I don’t have a product key,” accept license terms.
5. Select “Custom: Install Windows only (advanced),” delete existing partitions on target drive, select unallocated space → Next.
6. Follow on-screen prompts to set up your user account."
Question: How do I hide my email address on Windows 10 lock screen?,"To hide your email address on Windows 10 lock screen, follow these steps:
1. Press Win + I → Accounts → Sign in with a local account instead → follow prompts to create a local account (this removes the email from the lock screen).
2. If you want to keep your Microsoft account, open Registry Editor (Win + R → `regedit`) → navigate to `HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\CloudContent`. Create “CloudContent” if not exist. Under it, right-click → New → DWORD (32-bit) Value → name `DisableWindowsConsumerFeatures` → set value to 1 → Restart. This hides email and stops lock screen tips."
Question: How do I fix Windows 10 update stuck at 0%?,"To fix Windows 10 updates stuck at 0%, follow these steps:
1. Open Services (Win + R → `services.msc`) → right-click “Windows Update” → Stop.
2. In File Explorer, go to `C:\Windows\SoftwareDistribution\Download` → delete all files.
3. Return to Services → “Windows Update” → Start.
4. Go to Settings → Update & Security → Check for updates.
5. If still stuck, open Command Prompt (Admin) and run:
   net stop wuauserv
   net stop bits
   rd /s /q C:\Windows\SoftwareDistribution
   net start bits
   net start wuauserv
   Then re-check for updates."
Question: How do I disable Windows Defender in Windows 10?,"To disable Windows Defender (Windows Security) on Windows 10, follow these steps:
1. For Windows 10 Pro: Press Win + R → `gpedit.msc` → Enter → Computer Configuration → Administrative Templates → Windows Components → Microsoft Defender Antivirus → Double-click “Turn off Microsoft Defender Antivirus” → select “Enabled” → OK.
2. For Windows 10 Home: Press Win + R → `regedit` → Enter → navigate to `HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows Defender` (create if not exist) → right-click → New → DWORD (32-bit) → name `DisableAntiSpyware` → set value to 1 → Restart.
3. Windows Defender is now disabled; to re-enable, set the policy back to Not Configured or delete the registry DWORD and reboot."
Question: How do I fix Windows 10 slow File Explorer?,"To fix slow File Explorer on Windows 10, follow these steps:
1. Open File Explorer → View tab → Options → General tab → set “Open File Explorer to:” to “This PC” → OK.
2. Right-click any folder → Properties → Customize tab → “Optimize this folder for:” → “General items” → check “Also apply this template to all subfolders” → OK.
3. In File Explorer Options (View tab → Options) → click “Clear” under “Privacy” → OK.
4. In File Explorer Options → View tab → check “Always show icons, never thumbnails” → OK.
5. Restart your PC and test Explorer speed again."
Question: How do I disable OneDrive on Windows 10 startup?,"To disable OneDrive on Windows 10 startup, follow these steps:
1. Right-click OneDrive icon in the notification area → Settings → Settings tab → uncheck “Start OneDrive automatically when I sign in to Windows” → OK.
2. If OneDrive is running, right-click its icon → Close OneDrive.
3. Optionally, open Task Manager (Ctrl + Shift + Esc) → Startup tab → find “Microsoft OneDrive” → Disable.
4. Restart PC; OneDrive will no longer auto-launch."
Question: How do I create a new local user account on Windows 10?,"To create a new local user account on Windows 10, follow these steps:
1. Press Win + I → Accounts → Family & other users.
2. Under “Other users,” click “Add someone else to this PC.”
3. In the prompt, click “I don’t have this person’s sign-in information” → “Add a user without a Microsoft account.”
4. Enter a username, password (optional), and password hint → Next.
5. The new account appears; click it → Change account type → choose “Administrator” or leave as Standard → OK."
Question: How do I remove a virus from Windows 10?,"To remove a virus from Windows 10, follow these steps:
1. Disconnect from the internet to prevent further infection.
2. Boot into Safe Mode: hold Shift → Restart → Troubleshoot → Advanced options → Startup Settings → Restart → select Safe Mode.
3. Open Windows Security (Win + I → Update & Security → Windows Security) → Virus & threat protection → Quick scan → remove detected threats.
4. Download and run Malwarebytes in Safe Mode: download from https://www.malwarebytes.com → install → Threat Scan → quarantine any infections → reboot.
5. After reboot, run another security scan to confirm the system is clean."
Question: How do I repair corrupted system files on Windows 10 with sfc?,"To repair corrupted system files on Windows 10 using SFC, follow these steps:
1. Open Command Prompt as Administrator (Win + X → Command Prompt (Admin)).
2. Type `sfc /scannow` and press Enter. The System File Checker scans and repairs files.
3. Wait until completion. If errors cannot be fixed, run DISM: 
   `DISM /Online /Cleanup-Image /RestoreHealth` 
   then run `sfc /scannow` again.
4. Reboot your PC and verify all issues are resolved."
Question: How do I change Windows 10 power plan settings?,"To change power plan settings on Windows 10, follow these steps:
1. Press Win + X → Power Options → Under “Related settings,” click “Additional power settings.”
2. Click “Change plan settings” next to the active plan.
3. Adjust “Turn off the display” and “Put the computer to sleep” as desired → Save changes.
4. For advanced settings, click “Change advanced power settings,” tweak categories (e.g., Processor power management), and click OK.
5. Close Settings; new power settings are now in effect."
Question: How do I turn off keyboard backlight on Windows 10 laptop?,"To turn off keyboard backlight on a Windows 10 laptop, follow these steps:
1. Look for a function key labeled with a keyboard icon (often F3, F4, F5). Press Fn + that key to toggle the backlight off.
2. If no function key, open your laptop’s proprietary utility (e.g., HP Omen Command Center, Dell Quick	Set) and turn off the backlight.
3. Check BIOS: restart → press BIOS key (F2, Del, or Esc) → locate “Keyboard Backlight” under Advanced settings → set to “Off” → Save & Exit.
4. If no BIOS option, install the manufacturer’s keyboard driver/software from their website for backlight control.
5. After applying, reboot and verify the backlight stays off."
Question: How do I fix Windows 10 projector detection?,"To fix projector detection on Windows 10, follow these steps:
1. Press Win + P and choose “Duplicate” or “Extend.” If the projector isn’t listed, continue.
2. Right-click desktop → Display settings → click “Detect” under “Multiple displays.”
3. Open Device Manager (Win + X → Device Manager) → Display adapters → right-click your GPU → Update driver → Search automatically → reboot.
4. In Device Manager → Monitors → uninstall each monitor entry → Action → Scan for hardware changes.
5. Ensure projector input mode (HDMI/VGA) matches the cable; restart and try Win + P again."
Question: How do I calibrate touchscreen on Windows 10 tablet?,"To calibrate a touchscreen on Windows 10, follow these steps:
1. Press Win + S, type “Calibrate,” and select “Calibrate the screen for pen or touch input.”
2. In the Tablet PC Settings window, click “Calibrate.” If prompted, choose “Touch input.”
3. Tap the crosshair target in each corner until calibration completes.
4. Click “OK” to save the new calibration.
5. If accuracy issues persist, disable and re-enable the touch device: Device Manager (Win + X → Device Manager) → Human Interface Devices → right-click “HID-compliant touch screen” → Disable → Enable → Recalibrate."
Question: How do I enable Hyper-V on Windows 10 Pro?,"To enable Hyper-V on Windows 10 Pro, follow these steps:
1. Press Win + R → `optionalfeatures` → Enter.
2. In Windows Features, check “Hyper-V” (ensure “Hyper-V Management Tools” and “Hyper-V Platform” are selected) → OK → Restart.
3. After reboot, press Start → type “Hyper-V Manager” → Enter.
4. In Hyper-V Manager, select your PC → Action → New → Virtual Machine to create your first VM."
Question: How do I shut down unresponsive apps in Windows 10?,"To shut down unresponsive apps on Windows 10, follow these steps:
1. Press Ctrl + Shift + Esc to open Task Manager.
2. In the “Processes” tab, find the app with “Not responding” next to it.
3. Click the app → End task.
4. If Task Manager itself is frozen, press Ctrl + Alt + Del → Task Manager → repeat.
5. As a last resort, hold the power button for 10 seconds to force shutdown, then reboot."
Question: How do I recover Windows 10 product key from registry?,"To recover your Windows 10 product key from the registry, follow these steps:
1. Press Win + R → `regedit` → Enter.
2. Navigate to `HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\SoftwareProtectionPlatform`.
3. In the right pane, double-click “BackupProductKeyDefault.” The “Value data” field shows your 25-character product key.
4. Copy the key and store it safely.
5. Close Registry Editor."
Question: How do I increase virtual memory (pagefile) in Windows 10?,"To increase virtual memory (pagefile) on Windows 10, follow these steps:
1. Press Win + R → `sysdm.cpl` → Enter → Advanced tab.
2. Under “Performance,” click “Settings” → Advanced tab → under “Virtual memory,” click “Change.”
3. Uncheck “Automatically manage paging file size for all drives.” Select C:, choose “Custom size,” enter initial (1.5× RAM) and maximum (3× RAM) values (in MB) → Set → OK.
4. Click OK on all dialogs → Restart your PC."
Question: How do I set environment variables in Windows 10?,"To set environment variables on Windows 10, follow these steps:
1. Press Win + R → `sysdm.cpl` → Enter → Advanced tab → Environment Variables.
2. Under “User variables” or “System variables,” click “New.”
3. Enter “Variable name” (e.g., JAVA_HOME) and “Variable value” (e.g., C:\Program Files\Java\jdk-14) → OK.
4. To edit, select a variable → Edit → change value → OK.
5. Open a new Command Prompt and run `echo %VARIABLE_NAME%` to confirm."
Question: How do I disable automatic driver updates on Windows 10?,"To disable automatic driver updates on Windows 10, follow these steps:
1. For Pro/Enterprise: Press Win + R → `gpedit.msc` → Enter → Computer Configuration → Administrative Templates → Windows Components → Windows Update → Enable “Do not include drivers with Windows Updates” → Apply → OK.
2. For Home: Press Win + R → `regedit` → Enter → navigate to `HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate`. Create “WindowsUpdate” if not present. Under it, create a DWORD (32-bit) → name `ExcludeWUDriversInQualityUpdate` → set value to 1 → Restart.
3. Windows Update will no longer install drivers automatically."
Question: How do I enable remote desktop on Windows 10 Pro?,"To enable Remote Desktop on Windows 10 Pro, follow these steps:
1. Press Win + I → System → Remote Desktop → toggle “Enable Remote Desktop” to On → confirm.
2. Click “Advanced settings” to enable Network Level Authentication and note the port.
3. Note your PC name (e.g., DESKTOP-1234). On the remote device, open Remote Desktop Connection → enter PC name → Connect → login with your credentials."
Question: How do I reset network settings on Windows 10?,"To reset network settings on Windows 10, follow these steps:
1. Press Win + I → Network & Internet → Status → Network reset → Reset now → Yes.
2. Your PC will restart; network adapters will be reinstalled and settings reverted to defaults.
3. After reboot, reconfigure Wi-Fi or VPN connections as needed."
Question: How do I fix Windows 10 notification center not working?,"To fix the Notification Center on Windows 10, follow these steps:
1. Restart Explorer: Ctrl + Shift + Esc → Processes → Windows Explorer → Restart.
2. Open Settings → Update & Security → Troubleshoot → Search and Indexing → Run the troubleshooter.
3. Re-register Action Center: open PowerShell (Admin) → run:
   ```
   Get-AppxPackage Microsoft.Windows.ShellExperienceHost | Foreach {Add-AppxPackage –DisableDevelopmentMode –Register ""$($_.InstallLocation)\AppXManifest.xml""}
   Get-AppxPackage Microsoft.Windows.Cortana | Foreach {Add-AppxPackage –DisableDevelopmentMode –Register ""$($_.InstallLocation)\AppXManifest.xml""}
   ```
4. Restart your PC; Action Center should now function properly."
Question: How do I change Windows 10 account picture?,"To change your account picture on Windows 10, follow these steps:
1. Press Win + I → Accounts → Your info.
2. Under “Create your picture,” click “Browse for one” or “Camera” to take a new photo.
3. Select the image → Choose picture.
4. The new picture updates immediately and appears at the sign-in screen."
Question: How do I add or remove programs in Windows 10 Control Panel?,"To add or remove programs via Control Panel on Windows 10, follow these steps:
1. Press Win + R → `control panel` → Enter → Programs → Programs and Features.
2. To uninstall a program, select it → Uninstall → follow the prompts.
3. To add Windows features, click “Turn Windows features on or off” on the left, check/uncheck items → OK → restart if prompted."
Question: How do I fix Windows 10 search bar not working?,"To fix the Windows 10 search bar not working, follow these steps:
1. Restart Explorer: Ctrl + Shift + Esc → Processes → Windows Explorer → Restart.
2. Restart Windows Search service: Press Win + R → `services.msc` → Enter → find “Windows Search” → Restart.
3. Rebuild search index: Win + R → `control /name Microsoft.IndexingOptions` → Advanced → Rebuild → OK.
4. Run the Search and Indexing troubleshooter: Win + I → Update & Security → Troubleshoot → Search and Indexing → Run.
5. If needed, re-register Cortana/Search: open PowerShell (Admin) and run:
   ```
   Get-AppxPackage -Name Microsoft.Windows.Cortana | Foreach {Add-AppxPackage -DisableDevelopmentMode -Register ""$($_.InstallLocation)\AppXManifest.xml""}
   ```
   → restart."
Question: How do I schedule a task in Windows 10 Task Scheduler?,"To schedule a task in Windows 10 Task Scheduler, follow these steps:
1. Press Win + R → `taskschd.msc` → Enter.
2. In the right pane, click “Create Basic Task.”
3. Name the task (e.g., “Daily Backup”) → Next → choose trigger (Daily, Weekly, etc.) → Next.
4. Set start date/time → Next → select “Start a program” → Next → browse to the executable (e.g., notepad.exe) → Next → Finish.
5. To edit, double-click the task in Task Scheduler Library → adjust triggers or actions → OK."
Question: How do I compress files using built-in Windows 10 zip?,"To compress files using the built-in Windows 10 ZIP feature, follow these steps:
1. Select the file(s)/folder(s) → right-click → Send to → Compressed (zipped) folder.
2. Rename the .zip file if desired.
3. To add more files, drag them onto the existing .zip icon.
4. To unzip, right-click the .zip → Extract All → choose location → Extract."
Question: How do I fix Windows 10 static IP configuration?,"To fix a static IP configuration on Windows 10, follow these steps:
1. Press Win + R → `ncpa.cpl` → Enter.
2. Right-click your network adapter → Properties → select “Internet Protocol Version 4 (TCP/IPv4)” → Properties.
3. Choose “Use the following IP address” → enter IP (e.g., 192.168.1.100), Subnet mask (255.255.255.0), Default gateway (192.168.1.1).
4. Enter DNS servers (e.g., 8.8.8.8 and 8.8.4.4) → OK → Close.
5. In Command Prompt (Admin), run `ipconfig /flushdns` and `ipconfig /renew`."
